;estado;cidade;pib;populacao;pib_percapita;sigla;regiao
5108;PERNAMBUCO;São Vicente Ferrer;73439.6015625;17333;4236.97998047;PE;NORDESTE
5109;MATO GROSSO DO SUL;Nova Alvorada do Sul;239135.078125;12673;18869.65039062;MS;CENTRO-OESTE
5110;RIO GRANDE DO SUL;Soledade;326182.90625;31028;10512.53027344;RS;SUL
5111;MINAS GERAIS;Maria da Fé;99384.8984375;14637;6789.97998047;MG;SUDESTE
5112;PARANÁ;Bom Sucesso do Sul;62097.67578125;3075;20194.36914062;;
5113;MINAS GERAIS;Lavras;1211762.625;92542;13094.19042969;MG;SUDESTE
5114;GOIÁS;Ouvidor;194923.21875;5017;38852.55078125;;
5115;ALAGOAS;Carneiros;24778.15429688;8463;2927.82006836;AL;NORDESTE
5116;MINAS GERAIS;Capim Branco;44516.3515625;9276;4799.08984375;MG;SUDESTE
5117;PARANÁ;Quinta do Sol;67906.765625;5189;13086.6796875;;
5118;MINAS GERAIS;Santana do Paraíso;201738.765625;24695;8169.22021484;MG;SUDESTE
5119;BAHIA;Guajeru;29756.83203125;9330;3189.37011719;BA;NORDESTE
5120;PARANÁ;Missal;124092.0546875;10760;11532.71972656;;
5121;GOIÁS;Uruaçu;350877.25;34470;10179.20996094;;
5122;BAHIA;Alcobaça;142096.75;20242;7019.89990234;BA;NORDESTE
5123;MINAS GERAIS;Brasília de Minas;146346.96875;32438;4511.58984375;MG;SUDESTE
5124;RIO GRANDE DO SUL;General Câmara;107045.6640625;9101;11761.96972656;RS;SUL
5125;SANTA CATARINA;Maracajá;120909.96875;6185;19548.90039062;SC;SUL
5126;SÃO PAULO;Estrela do Norte;27035.44726562;2474;10927.83007812;;
5127;MINAS GERAIS;Coluna;39630.35546875;9570;4141.10009766;MG;SUDESTE
5128;MARANHÃO;Campestre do Maranhão;68475.671875;12716;5385.0;;
5129;PARAÍBA;Lagoa de Dentro;35610.0234375;7495;4751.16992188;;
5130;MINAS GERAIS;Durandé;49162.2421875;7146;6879.68994141;MG;SUDESTE
5131;BAHIA;Curaçá;142728.21875;34421;4146.54003906;BA;NORDESTE
5132;MINAS GERAIS;Boa Esperança;426140.21875;39254;10855.96972656;MG;SUDESTE
5133;RIO GRANDE DO SUL;Vila Nova do Sul;51036.37109375;4401;11596.54003906;RS;SUL
5134;MINAS GERAIS;Dom Bosco;38927.5625;3839;10140.03027344;MG;SUDESTE
5135;SÃO PAULO;Parisi;21989.21679688;2149;10232.29980469;;
5136;MATO GROSSO DO SUL;Santa Rita do Pardo;146599.171875;7454;19667.1796875;MS;CENTRO-OESTE
5137;MARANHÃO;Sambaíba;100500.4921875;6038;16644.66992188;;
5138;SANTA CATARINA;Urussanga;412457.40625;19936;20689.08007812;SC;SUL
5139;GOIÁS;Iporá;231045.234375;32045;7210.02001953;;
5140;RIO GRANDE DO SUL;Benjamin Constant do Sul;16956.55664062;2188;7749.79980469;RS;SUL
5141;SÃO PAULO;Uru;41700.69140625;1395;29892.97070312;;
5142;CEARÁ;Arneiroz;29477.015625;7486;3937.62011719;;
5143;MINAS GERAIS;Gonzaga;22850.0;5786;3949.18994141;MG;SUDESTE
5144;PARANÁ;Pontal do Paraná;188657.046875;17820;10586.80957031;;
5145;MINAS GERAIS;Jaguaraçu;36942.16015625;2857;12930.40039062;MG;SUDESTE
5146;ESPIRITO SANTO;Pedro Canário;182193.703125;24404;7465.72998047;ES;SUDESTE
5147;CEARÁ;São Luís do Curu;48670.078125;12613;3858.7199707;;
5148;ALAGOAS;Campo Grande;32337.46289062;9909;3263.43994141;AL;NORDESTE
5149;SÃO PAULO;Óleo;37124.59765625;2699;13754.95019531;;
5150;CEARÁ;Sobral;1964743.0;182431;10769.79003906;;
5151;SANTA CATARINA;Campos Novos;792458.9375;29133;27201.41992188;SC;SUL
5152;BAHIA;Itaju do Colônia;38664.078125;7706;5017.39990234;BA;NORDESTE
5153;GOIÁS;Nova Roma;34341.16015625;3633;9452.55957031;;
5154;RIO GRANDE DO NORTE;João Dias;11670.41210938;2824;4132.58007812;RN;NORDESTE
5155;GOIÁS;Rio Verde;4260318.5;163021;26133.55078125;;
